time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0012,-0.0002,641.83,1590.47,1398.85,553.75,2388.05,9057.79,47.34,521.56,2388.01,8146.62,8.4045,393,38.96,23.3054,222,0
2,-0.0007,-0.0005,642.48,1590.52,1404.57,553.14,2388.05,9064.16,47.46,521.35,2388.09,8149.94,8.4358,393,39.09,23.3864,221,0
3,-0.0016,-0.0003,642.93,1596.22,1399.59,553.44,2388.13,9061.75,47.23,521.53,2388.07,8142.4,8.4066,393,38.82,23.3246,220,0
4,0.0,-0.0003,642.49,1582.54,1402.26,554.5,2388.01,9061.56,47.4,521.83,2388.08,8145.43,8.4285,391,39.07,23.299,219,0
5,0.0004,0.0,642.34,1593.17,1406.94,554.14,2388.05,9070.19,47.37,522.24,2388.02,8143.33,8.4267,390,38.98,23.4846,218,0
6,0.0021,-0.0003,642.38,1592.02,1402.1,553.68,2388.07,9063.45,47.38,521.76,2388.02,8144.69,8.3972,392,39.01,23.381,217,0
7,0.0004,-0.0002,642.71,1585.03,1401.74,554.93,2388.03,9064.08,47.54,521.59,2388.02,8144.07,8.4253,393,38.76,23.3075,216,0
8,0.0018,0.0003,642.5,1587.65,1406.96,554.54,2388.0,9060.76,47.28,522.13,2388.03,8144.7,8.4358,391,38.73,23.3738,215,0
9,0.0002,0.0003,642.38,1586.54,1404.31,554.29,2388.07,9064.52,47.31,521.23,2388.08,8143.72,8.4358,393,38.78,23.395,214,0
10,0.0031,0.0001,642.56,1587.94,1399.61,554.5,2388.05,9066.39,47.26,521.68,2388.05,8144.12,8.4177,393,38.91,23.3305,213,0
11,0.0005,-0.0004,642.29,1587.55,1402.9,554.17,2388.01,9060.68,47.32,522.19,2388.03,8146.66,8.437,391,38.8,23.3017,212,0
12,-0.0012,0.0003,642.76,1598.66,1407.2,553.29,2388.08,9061.75,47.54,522.15,2388.03,8145.01,8.4311,393,38.85,23.4365,211,0
13,0.0053,0.0003,642.34,1586.51,1406.51,553.96,2388.09,9063.17,47.27,522.19,2388.07,8143.5,8.4322,393,38.9,23.4558,210,0
14,0.0018,0.0002,642.54,1586.18,1409.1,553.98,2388.06,9059.38,47.39,522.18,2388.05,8143.76,8.4381,391,38.97,23.2648,209,0
15,0.0046,-0.0004,643.07,1582.07,1403.04,554.0,2388.03,9066.02,47.25,522.13,2388.05,8146.72,8.4129,391,38.87,23.2311,208,0
16,0.0008,0.0003,642.82,1586.55,1404.25,553.89,2388.03,9063.62,47.23,521.33,2388.04,8147.12,8.4262,393,39.05,23.3938,207,0
17,0.0024,-0.0001,642.2,1584.46,1397.17,554.02,2388.04,9050.76,47.49,521.71,2388.06,8140.78,8.4593,392,38.92,23.2823,206,0
18,0.0023,-0.0004,642.53,1588.83,1405.49,553.41,2388.07,9057.82,47.41,522.28,2388.03,8144.87,8.4184,391,38.85,23.334,205,0
19,0.0018,0.0004,642.79,1580.2,1399.97,554.18,2388.04,9060.3,47.35,521.27,2388.04,8139.73,8.4047,393,38.75,23.3591,204,0
20,0.0034,0.0005,642.28,1590.53,1405.35,553.43,2388.04,9064.3,47.51,521.8,2388.06,8145.7,8.4328,394,38.92,23.3019,203,0
21,-0.0014,-0.0001,642.53,1581.76,1409.76,553.99,2388.09,9062.96,47.41,521.41,2388.03,8141.4,8.4291,393,38.83,23.3226,202,0
22,-0.0044,-0.0004,642.32,1579.77,1407.6,553.15,2388.04,9056.34,47.36,521.62,2388.02,8143.16,8.4137,393,38.86,23.3986,201,0
23,-0.0009,0.0004,642.82,1581.68,1406.81,553.3,2388.02,9064.2,47.51,522.02,2388.03,8145.38,8.4153,391,38.91,23.4054,200,0
24,-0.0009,-0.0001,642.27,1591.56,1406.91,553.43,2388.03,9060.15,47.36,521.76,2388.09,8148.48,8.4474,391,39.07,23.3447,199,0
25,-0.0005,0.0001,642.26,1590.66,1407.34,553.09,2388.02,9060.33,47.34,522.17,2388.08,8144.76,8.3956,394,39.01,23.4024,198,0
26,-0.0015,0.0003,642.47,1582.37,1401.18,554.04,2388.03,9054.68,47.42,522.2,2388.04,8140.93,8.4057,392,38.98,23.3968,197,0
27,-0.0032,0.0005,642.2,1585.59,1401.22,553.39,2388.07,9064.73,47.2,521.45,2388.07,8142.31,8.4472,392,39.17,23.3157,196,0
28,-0.0014,0.0003,642.71,1589.88,1404.11,553.49,2388.1,9060.98,47.45,522.04,2388.08,8135.75,8.4164,392,38.93,23.4294,195,0
29,0.0012,0.0005,642.64,1582.39,1402.97,553.93,2388.02,9060.53,47.29,521.56,2388.1,8147.67,8.4449,394,38.93,23.3497,194,0
30,0.0013,-0.0005,642.45,1590.87,1403.98,553.14,2388.05,9065.32,47.31,521.57,2388.1,8143.08,8.4044,393,38.72,23.395,193,0
31,0.0001,0.0004,642.21,1585.48,1401.6,554.18,2388.05,9061.08,47.28,522.13,2388.07,8145.31,8.4153,392,38.84,23.3153,192,0
32,-0.0008,-0.0004,641.94,1585.52,1397.07,553.98,2388.13,9062.82,47.4,521.83,2388.04,8144.19,8.4103,391,38.96,23.3675,191,0
33,-0.0023,0.0003,642.25,1588.32,1395.83,553.91,2388.04,9062.62,47.3,521.88,2388.05,8138.5,8.4109,392,38.93,23.4221,190,0
34,0.0035,0.0004,642.85,1584.49,1404.21,554.5,2388.03,9063.24,47.56,521.87,2388.07,8140.58,8.4039,392,38.81,23.4099,189,0
35,0.0024,0.0005,642.33,1582.6,1405.75,554.23,2388.1,9063.64,47.42,522.2,2388.06,8143.11,8.4026,392,38.87,23.3579,188,0
36,-0.0015,0.0,642.68,1579.22,1396.92,554.04,2388.09,9063.98,47.45,521.89,2388.04,8144.19,8.3842,391,38.7,23.4153,187,0
37,-0.0004,0.0005,642.29,1589.33,1407.49,554.0,2388.0,9066.54,47.41,521.66,2388.05,8143.87,8.4129,393,38.91,23.3842,186,0
38,0.0013,-0.0,642.14,1584.57,1399.87,554.51,2388.05,9066.46,47.42,522.03,2388.06,8142.66,8.4183,392,38.83,23.3,185,0
39,0.0012,-0.0002,642.26,1593.53,1405.15,553.79,2388.06,9062.17,47.46,522.25,2388.06,8142.63,8.4563,393,38.9,23.3154,184,0
40,-0.0021,-0.0001,642.35,1584.88,1396.44,553.18,2388.09,9064.9,47.55,521.18,2388.06,8146.62,8.4399,392,39.15,23.1937,183,0
41,0.0015,0.0,642.25,1590.14,1404.25,553.49,2388.04,9060.45,47.49,521.99,2388.04,8148.05,8.411,393,38.92,23.2977,182,0
42,-0.0036,0.0003,642.06,1591.89,1404.59,553.14,2388.03,9065.4,47.36,521.99,2388.06,8143.79,8.4605,392,38.86,23.3761,181,0
43,0.0019,-0.0003,641.88,1592.27,1395.71,553.57,2388.0,9061.62,47.37,521.94,2388.02,8145.83,8.4368,391,38.77,23.2575,180,0
44,0.0,-0.0003,642.38,1588.11,1405.06,554.1,2388.02,9064.92,47.31,522.11,2388.1,8141.23,8.4294,393,38.93,23.2885,179,0
45,0.0035,-0.0004,642.61,1589.13,1405.69,554.77,2388.06,9062.67,47.31,522.02,2387.98,8145.75,8.4243,391,38.92,23.3661,178,0
46,0.0008,-0.0005,642.52,1585.29,1407.36,553.92,2388.11,9064.26,47.34,521.42,2388.06,8140.68,8.4138,393,38.97,23.2929,177,0
47,0.0008,-0.0002,642.1,1580.24,1408.92,554.15,2388.04,9061.19,47.45,521.71,2388.06,8139.6,8.396,391,38.78,23.3499,176,0
48,-0.0013,-0.0003,642.13,1592.69,1403.43,553.76,2388.05,9066.26,47.51,521.99,2388.09,8144.41,8.436,393,38.95,23.3333,175,0
49,-0.0045,0.0003,642.69,1591.9,1400.32,554.02,2388.08,9064.48,47.31,521.45,2388.05,8144.38,8.4023,393,38.82,23.2651,174,0
50,0.0037,-0.0004,642.31,1581.4,1400.17,553.77,2388.0,9059.4,47.37,521.76,2388.02,8143.43,8.4201,393,39.01,23.315,173,0
