unit_number,max_cycles,n_settings,n_sensores,event
1,192,3,21,1
2,287,3,21,1
3,179,3,21,1
4,189,3,21,1
5,269,3,21,1
6,188,3,21,1
7,259,3,21,1
8,150,3,21,1
9,201,3,21,1
10,222,3,21,1
11,240,3,21,1
12,170,3,21,1
13,163,3,21,1
14,180,3,21,1
15,207,3,21,1
16,209,3,21,1
17,276,3,21,1
18,195,3,21,1
19,158,3,21,1
20,234,3,21,1
21,195,3,21,1
22,202,3,21,1
23,168,3,21,1
24,147,3,21,1
25,230,3,21,1
26,199,3,21,1
27,156,3,21,1
28,165,3,21,1
29,163,3,21,1
30,194,3,21,1
31,234,3,21,1
32,191,3,21,1
33,200,3,21,1
34,195,3,21,1
35,181,3,21,1
36,158,3,21,1
37,170,3,21,1
38,194,3,21,1
39,128,3,21,1
40,188,3,21,1
41,216,3,21,1
42,196,3,21,1
43,207,3,21,1
44,192,3,21,1
45,158,3,21,1
46,256,3,21,1
47,214,3,21,1
48,231,3,21,1
49,215,3,21,1
50,198,3,21,1
51,213,3,21,1
52,213,3,21,1
53,195,3,21,1
54,257,3,21,1
55,193,3,21,1
56,275,3,21,1
57,137,3,21,1
58,147,3,21,1
59,231,3,21,1
60,172,3,21,1
61,185,3,21,1
62,180,3,21,1
63,174,3,21,1
64,283,3,21,1
65,153,3,21,1
66,202,3,21,1
67,313,3,21,1
68,199,3,21,1
69,362,3,21,1
70,137,3,21,1
71,208,3,21,1
72,213,3,21,1
73,213,3,21,1
74,166,3,21,1
75,229,3,21,1
76,210,3,21,1
77,154,3,21,1
78,231,3,21,1
79,199,3,21,1
80,185,3,21,1
81,240,3,21,1
82,214,3,21,1
83,293,3,21,1
84,267,3,21,1
85,188,3,21,1
86,278,3,21,1
87,178,3,21,1
88,213,3,21,1
89,217,3,21,1
90,154,3,21,1
91,135,3,21,1
92,341,3,21,1
93,155,3,21,1
94,258,3,21,1
95,283,3,21,1
96,336,3,21,1
97,202,3,21,1
98,156,3,21,1
99,185,3,21,1
100,200,3,21,1
101,31,3,21,0
102,49,3,21,0
103,126,3,21,0
104,106,3,21,0
105,98,3,21,0
106,105,3,21,0
107,160,3,21,0
108,166,3,21,0
109,55,3,21,0
110,192,3,21,0
111,83,3,21,0
112,217,3,21,0
113,195,3,21,0
114,46,3,21,0
115,76,3,21,0
116,113,3,21,0
117,165,3,21,0
118,133,3,21,0
119,135,3,21,0
120,184,3,21,0
121,148,3,21,0
122,39,3,21,0
123,130,3,21,0
124,186,3,21,0
125,48,3,21,0
126,76,3,21,0
127,140,3,21,0
128,158,3,21,0
129,171,3,21,0
130,143,3,21,0
131,196,3,21,0
132,145,3,21,0
133,50,3,21,0
134,203,3,21,0
135,198,3,21,0
136,126,3,21,0
137,121,3,21,0
138,125,3,21,0
139,37,3,21,0
140,133,3,21,0
141,123,3,21,0
142,156,3,21,0
143,172,3,21,0
144,54,3,21,0
145,152,3,21,0
146,146,3,21,0
147,73,3,21,0
148,78,3,21,0
149,303,3,21,0
150,74,3,21,0
151,144,3,21,0
152,189,3,21,0
153,164,3,21,0
154,121,3,21,0
155,113,3,21,0
156,136,3,21,0
157,160,3,21,0
158,176,3,21,0
159,94,3,21,0
160,147,3,21,0
161,159,3,21,0
162,232,3,21,0
163,155,3,21,0
164,168,3,21,0
165,71,3,21,0
166,147,3,21,0
167,71,3,21,0
168,187,3,21,0
169,54,3,21,0
170,152,3,21,0
171,68,3,21,0
172,131,3,21,0
173,112,3,21,0
174,137,3,21,0
175,88,3,21,0
176,205,3,21,0
177,162,3,21,0
178,72,3,21,0
179,101,3,21,0
180,133,3,21,0
181,213,3,21,0
182,162,3,21,0
183,73,3,21,0
184,172,3,21,0
185,34,3,21,0
186,110,3,21,0
187,56,3,21,0
188,68,3,21,0
189,177,3,21,0
190,146,3,21,0
191,234,3,21,0
192,150,3,21,0
193,244,3,21,0
194,133,3,21,0
195,89,3,21,0
196,97,3,21,0
197,134,3,21,0
198,121,3,21,0
199,97,3,21,0
200,198,3,21,0
