feature_set,window_size,n_components,clipping_threshold,distribution,method,tdf,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,gamma,em,3,0.3,3459.303873827671,0.573945420497129,33.6410078973122,45.98682094462563
A,20,10,115,gamma,em,3,0.5,3838.9942696402345,0.5695629798604782,34.097603572550284,46.56407752569093
A,20,10,115,gamma,em,3,0.95,4762.802952866951,0.5615684690999885,35.08156706691274,47.73909244001757
A,20,10,115,gamma,em,5,0.3,3459.303873827671,0.573945420497129,33.6410078973122,45.98682094462563
A,20,10,115,gamma,em,5,0.5,3980.889539282902,0.5683247169094151,34.218497090644846,46.72548666323469
A,20,10,115,gamma,em,5,0.95,4907.856573256666,0.5605412142970658,35.153369937753574,47.84574085535384
A,20,10,115,gamma,aic,3,0.3,3700.490892947454,0.5713386586284133,33.88698421903858,46.31133131935072
A,20,10,115,gamma,aic,3,0.5,4055.850557172248,0.5675295154737174,34.28982892603191,46.81973832775274
A,20,10,115,gamma,aic,3,0.95,4777.422683747997,0.5614502797701387,35.09200686214946,47.75386764623769
A,20,10,115,gamma,aic,5,0.3,3492.169760565892,0.5734813489129709,33.673801617358194,46.03015411408918
A,20,10,115,gamma,aic,5,0.5,3884.6195373148594,0.5692559895111371,34.126000656645985,46.605134774442654
A,20,10,115,gamma,aic,5,0.95,4777.422683747997,0.5614502797701387,35.09200686214946,47.75386764623769
A,20,10,115,gaussian,em,3,0.3,3464.5606352659474,0.5734080262284007,33.70309357914307,46.05537258794109
A,20,10,115,gaussian,em,3,0.5,3869.3747349538853,0.5691663884689181,34.15756014467176,46.63131413700354
A,20,10,115,gaussian,em,3,0.95,4797.849234385983,0.5613295705196202,35.107931304383555,47.77600896224669
A,20,10,115,gaussian,em,5,0.3,3464.5606352659474,0.5734080262284007,33.70309357914307,46.05537258794109
