feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,log,0.1,0.0,0.0,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.0,0.5,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.0,0.75,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.0,1.0,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.05,0.0,4.906951128030036,0.8743597227889006,14.026301015309645,17.968638794370108
A,15,10,115,log,0.1,0.05,0.5,4.832095810629014,0.8742462971503253,13.897815602920076,17.754752054430504
A,15,10,115,log,0.1,0.05,0.75,4.805752009927572,0.8741320012814597,13.839513794557813,17.656260019457108
A,15,10,115,log,0.1,0.1,0.0,5.147397629286232,0.8745777737363859,14.462330804735894,18.602838247264085
A,15,10,115,log,0.1,0.05,1.0,4.7848466820053215,0.8740117173562136,13.787469107335564,17.564987917919954
A,15,10,115,log,0.1,0.1,0.5,4.938969928252516,0.8743273105499657,14.161514536865374,18.13404211363571
A,15,10,115,log,0.1,0.1,0.75,4.8662243959713525,0.8741112155454142,14.033201996696857,17.924989835174493
A,15,10,115,log,0.1,0.5,0.0,10.191463467080428,0.8753000244376204,19.87757982352432,25.167626500861296
A,15,10,115,log,0.1,0.1,1.0,4.8119117417161,0.8738706295806546,13.917285062924321,17.730171181262385
A,15,10,115,log,0.1,0.5,0.5,7.212823026564908,0.8742616895428832,17.138023550010594,22.045758478164935
A,15,10,115,log,0.1,0.5,0.75,6.113346429294833,0.8733266293107347,15.977921109661784,20.569436016008023
A,15,10,115,log,0.1,0.5,1.0,5.328495108407969,0.8718731271693028,15.065144538214085,19.25745843557498
A,15,10,115,log,0.5,0.0,0.0,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.5,0.0,0.75,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.5,0.0,0.5,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.5,0.0,1.0,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.5,0.05,0.0,6.39219318902942,0.8741366340483772,15.891190882410964,20.616242638091965
A,15,10,115,log,0.5,0.05,0.75,5.325208761335797,0.8730323971550433,14.62727130413081,18.84663189319272
A,15,10,115,log,0.5,0.05,0.5,5.61645745058579,0.8733672150030216,15.00630161168267,19.406696842527317
A,15,10,115,log,0.5,0.1,0.0,9.469792283918952,0.8744658948557896,19.00826419841581,24.342057290076077
A,15,10,115,log,0.5,0.05,1.0,5.101658284684944,0.8726222085389507,14.294139991215705,18.32795454051872
A,15,10,115,log,0.5,0.1,0.5,7.036111396857112,0.8733951906001334,16.7181318708461,21.646804735657675
A,15,10,115,log,0.5,0.1,0.75,6.1119467819040185,0.8726527838592923,15.746902776267959,20.366817113613756
A,15,10,115,log,0.5,0.1,1.0,5.427425432771176,0.8715758740632829,14.956544455596426,19.20720929684503
A,15,10,115,log,0.5,0.5,0.0,73.37977533925246,0.8749216032163811,42.235957330770546,47.390087305949095
A,15,10,115,log,0.5,0.5,0.5,38.8667934932228,0.8693530501397824,34.103255793189014,39.6364118328137
A,15,10,115,log,0.5,0.5,0.75,25.13540660413058,0.8606435909812671,28.47825513703291,34.422678380804264
A,15,10,115,log,1.0,0.0,0.0,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,0.5,0.5,1.0,13.99324077919654,0.8503268869985565,22.166966645033035,28.214296194116486
A,15,10,115,log,1.0,0.0,0.5,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,1.0,0.0,0.75,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,1.0,0.0,1.0,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,1.0,0.05,0.0,9.404766087033599,0.8742985630370704,18.901329016662253,24.24830910916702
A,15,10,115,log,1.0,0.05,0.5,7.0328587592798755,0.8732429436717994,16.671239318467528,21.607830272964037
A,15,10,115,log,1.0,0.05,0.75,6.127052761711238,0.8725477247844365,15.722096540790167,20.351398218962096
A,15,10,115,log,1.0,0.1,0.0,19.115511366811155,0.8744556322275244,25.81462551797953,31.4878486667478
A,15,10,115,log,1.0,0.05,1.0,5.454467957978254,0.8715197640325731,14.946536690867692,19.210472501303194
A,15,10,115,log,1.0,0.1,0.5,11.638426793279189,0.8726228929292656,20.883020463241817,26.445363922757537
A,15,10,115,log,1.0,0.1,0.75,8.758650952793825,0.8707599618038222,18.485266709314107,23.790927596161314
