feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,log,0.1,0.0,0.0,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.0,0.5,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.0,1.0,4.781216335293324,0.8740162048837355,13.67140391458619,17.42445068431999
A,15,10,115,log,0.1,0.1,0.0,5.147397629286232,0.8745777737363859,14.462330804735894,18.602838247264085
A,15,10,115,log,0.1,0.1,0.5,4.938969928252516,0.8743273105499657,14.161514536865374,18.13404211363571
A,15,10,115,log,0.1,0.1,1.0,4.8119117417161,0.8738706295806546,13.917285062924321,17.730171181262385
A,15,10,115,log,0.1,0.5,0.0,10.191463467080428,0.8753000244376204,19.87757982352432,25.167626500861296
A,15,10,115,log,0.1,0.5,0.5,7.212823026564908,0.8742616895428832,17.138023550010594,22.045758478164935
A,15,10,115,log,0.5,0.0,0.0,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.1,0.5,1.0,5.328495108407969,0.8718731271693028,15.065144538214085,19.25745843557498
A,15,10,115,log,0.5,0.0,0.5,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.5,0.0,1.0,4.970780905902349,0.8731322748687568,13.735651346093189,17.597556492210646
A,15,10,115,log,0.5,0.1,0.0,9.469792283918952,0.8744658948557896,19.00826419841581,24.342057290076077
A,15,10,115,log,0.5,0.1,0.5,7.036111396857112,0.8733951906001334,16.7181318708461,21.646804735657675
A,15,10,115,log,0.5,0.1,1.0,5.427425432771176,0.8715758740632829,14.956544455596426,19.20720929684503
A,15,10,115,log,0.5,0.5,0.0,73.37977533925246,0.8749216032163811,42.235957330770546,47.390087305949095
A,15,10,115,log,0.5,0.5,0.5,38.8667934932228,0.8693530501397824,34.103255793189014,39.6364118328137
A,15,10,115,log,0.5,0.5,1.0,13.99324077919654,0.8503268869985565,22.166966645033035,28.214296194116486
A,15,10,115,log,1.0,0.0,0.0,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,1.0,0.0,0.5,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,1.0,0.0,1.0,5.010320451812721,0.8728856606023744,13.74999232923281,17.632590832471635
A,15,10,115,log,1.0,0.1,0.0,19.115511366811155,0.8744556322275244,25.81462551797953,31.4878486667478
A,15,10,115,log,1.0,0.1,0.5,11.638426793279189,0.8726228929292656,20.883020463241817,26.445363922757537
A,15,10,115,log,1.0,0.1,1.0,6.652768113693606,0.8674436291770184,16.554749008986082,21.305003891924695
A,15,10,115,log,1.0,0.5,0.0,203.86915449806304,0.8748256254206028,55.02479261264564,60.19772244294745
A,15,10,115,log,1.0,0.5,0.5,114.66192823422895,0.8636359226770981,47.44667198311815,52.79607534444368
A,15,10,115,log,1.0,0.5,1.0,32.74403823755889,0.8488863810222085,31.79767178954227,37.627383766360715
A,15,10,115,log,1.5,0.0,0.0,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.5,0.0,0.5,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.5,0.0,1.0,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.5,0.1,0.0,32.753317456849196,0.8744410435211926,32.08801904134853,37.59792874018043
A,15,10,115,log,1.5,0.1,0.5,18.269977264676836,0.8715969784677613,25.330419903091972,31.09365159799044
A,15,10,115,log,1.5,0.1,1.0,8.530246511808892,0.8612140020634751,18.33850485237594,23.614683975518354
A,15,10,115,log,1.5,0.5,0.0,351.957988733826,0.8747710283944921,61.59892568951484,66.97254865904722
A,15,10,115,log,1.5,0.5,0.5,214.28474537531343,0.8588481561433211,55.04720628143343,60.537371418567396
A,15,10,115,log,1.5,0.5,1.0,62.06028967673755,0.8488863810222085,40.0071120624559,45.622568171550974
A,15,10,120,log,0.1,0.0,0.0,5.396577520058021,0.8658667194704991,13.451025777126981,17.95644015232852
A,15,10,120,log,0.1,0.0,0.5,5.396577520058021,0.8658667194704991,13.451025777126981,17.95644015232852
A,15,10,120,log,0.1,0.0,1.0,5.396577520058021,0.8658667194704991,13.451025777126981,17.95644015232852
A,15,10,120,log,0.1,0.1,0.0,5.872635697800812,0.866788307807641,14.40936541766086,19.245233378987987
A,15,10,120,log,0.1,0.1,0.5,5.614422397651163,0.8663965272969835,14.05149691868815,18.741178743474414
A,15,10,120,log,0.1,0.1,1.0,5.457399099694131,0.8658056126158019,13.756109939831324,18.309621401794473
A,15,10,120,log,0.1,0.5,0.0,11.983796431632587,0.8679096126492085,20.276874726943976,26.117241527950334
