feature_set,window_size,n_components,clipping_threshold,n_estimators,max_depth,min_samples_leaf,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,50,5.0,1,sqrt,6.319770873070553,0.8560982615792859,13.359182252225631,16.175246234219582
A,15,10,115,50,5.0,1,1.0,4.720894724983859,0.877542393571183,9.694256750367796,13.956893292527374
A,15,10,115,50,5.0,5,sqrt,6.328492494583953,0.8574294304252315,13.242766653553424,16.10754145341152
A,15,10,115,50,5.0,5,1.0,4.7217477497353775,0.8775714212843744,9.69522823773234,13.957242696174816
A,15,10,115,50,5.0,10,sqrt,6.391100519056955,0.8557991742943492,13.208681365648667,16.106107571702932
A,15,10,115,50,5.0,10,1.0,4.718716488525578,0.8775803910396558,9.693447890052855,13.954163600550268
A,15,10,115,50,10.0,1,sqrt,4.5399327149834106,0.8783746160570882,10.103429526810588,13.773764054813665
A,15,10,115,50,10.0,1,1.0,4.584770253355518,0.8810136918264238,9.064747970434828,13.652340423754236
A,15,10,115,50,10.0,5,sqrt,4.552222761272189,0.8782364854116459,10.136004784647874,13.76854969508849
A,15,10,115,50,10.0,5,1.0,4.520148002214282,0.8811173012847086,9.065628842490248,13.631754635881055
A,15,10,115,50,10.0,10,sqrt,4.519906845189764,0.8772482941500523,10.16906659617987,13.81907523175622
A,15,10,115,50,10.0,10,1.0,4.5194117098036015,0.8812401603350362,9.05276809892448,13.61145536737023
A,15,10,115,50,,1,sqrt,4.330426347895762,0.8762080406458754,9.493768933199725,13.702929007645745
A,15,10,115,50,,1,1.0,4.660544106458808,0.874376656478501,9.315358667666684,13.982157202896843
A,15,10,115,50,,5,sqrt,4.26660541765259,0.8783240986238596,9.410815222353808,13.576252018356508
A,15,10,115,50,,5,1.0,4.542823540082137,0.8774829230980081,9.174970599411049,13.799988544505998
A,15,10,115,50,,10,sqrt,4.2570907680112935,0.8787939408568057,9.585157832588484,13.613285787649136
A,15,10,115,50,,10,1.0,4.539988084294099,0.8788783821432216,9.108992418984007,13.712387282363425
A,15,10,115,100,5.0,1,sqrt,6.290827370162665,0.8586476353466027,13.289943850755188,16.116084391147457
A,15,10,115,100,5.0,1,1.0,4.7215912463442935,0.8776448280107243,9.695926382346173,13.960639886870556
A,15,10,115,100,5.0,5,sqrt,6.300108861373383,0.8592697736903709,13.214691800771291,16.070506211416344
A,15,10,115,100,5.0,5,1.0,4.7222126910961775,0.8776719446963555,9.696254032526062,13.960894105033011
A,15,10,115,100,5.0,10,sqrt,6.3365767886121205,0.8576328171882663,13.187705873896078,16.06670924482691
A,15,10,115,100,5.0,10,1.0,4.720122240895887,0.8777021504631628,9.694973425951911,13.958451592460827
A,15,10,115,100,10.0,1,sqrt,4.490047892776142,0.8792483008288219,10.067763459433907,13.72479592955164
A,15,10,115,100,10.0,1,1.0,4.521752348027057,0.8813328864763186,9.06220179466322,13.632033178854112
A,15,10,115,100,10.0,5,sqrt,4.503874956882895,0.8786889413517847,10.083110046963288,13.745909355026496
A,15,10,115,100,10.0,5,1.0,4.479619381085421,0.8813770399874865,9.055285565436227,13.614177111038634
