feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,rbf,0.1,0.01,scale,2,6.625261845963467,0.8561642796326996,11.585565964041558,15.879599707525063
A,15,10,115,rbf,0.1,0.01,scale,3,6.625261845963467,0.8561642796326996,11.585565964041558,15.879599707525063
A,15,10,115,rbf,0.1,0.01,0.01,2,5.3228812161052295,0.8660327382641938,10.858918184649523,14.996282020695284
A,15,10,115,rbf,0.1,0.01,0.01,3,5.3228812161052295,0.8660327382641938,10.858918184649523,14.996282020695284
A,15,10,115,rbf,0.1,0.1,scale,2,6.625642605342935,0.8561505850121522,11.586652798937395,15.880794921010954
A,15,10,115,rbf,0.1,0.1,scale,3,6.625642605342935,0.8561505850121522,11.586652798937395,15.880794921010954
A,15,10,115,rbf,0.1,0.1,0.01,2,5.325809044395497,0.8660256064862646,10.859635069121614,14.997439995768596
A,15,10,115,rbf,0.1,0.1,0.01,3,5.325809044395497,0.8660256064862646,10.859635069121614,14.997439995768596
A,15,10,115,rbf,1.0,0.01,scale,2,5.155995472620085,0.8758607333028428,9.045836149940396,13.80064532228594
A,15,10,115,rbf,1.0,0.01,scale,3,5.155995472620085,0.8758607333028428,9.045836149940396,13.80064532228594
A,15,10,115,rbf,1.0,0.01,0.01,2,4.85050972120698,0.8771015745963264,9.519501442234732,14.003154132130394
A,15,10,115,rbf,1.0,0.01,0.01,3,4.85050972120698,0.8771015745963264,9.519501442234732,14.003154132130394
A,15,10,115,rbf,1.0,0.1,scale,2,5.153518875269238,0.875821282176514,9.045527204122106,13.799935376062498
A,15,10,115,rbf,1.0,0.1,scale,3,5.153518875269238,0.875821282176514,9.045527204122106,13.799935376062498
A,15,10,115,rbf,1.0,0.1,0.01,2,4.851624809004958,0.8771158409080613,9.52009444299262,14.002339981519318
A,15,10,115,rbf,1.0,0.1,0.01,3,4.851624809004958,0.8771158409080613,9.52009444299262,14.002339981519318
A,15,10,115,rbf,10.0,0.01,scale,2,5.406825195686404,0.8776007927956915,8.501273086391771,13.7107930761251
A,15,10,115,rbf,10.0,0.01,scale,3,5.406825195686404,0.8776007927956915,8.501273086391771,13.7107930761251
A,15,10,115,rbf,10.0,0.01,0.01,2,4.89022969136015,0.8806197521230583,8.933205006843734,13.693759865048904
A,15,10,115,rbf,10.0,0.01,0.01,3,4.89022969136015,0.8806197521230583,8.933205006843734,13.693759865048904
A,15,10,115,rbf,10.0,0.1,scale,2,5.401142068756225,0.8775311177691879,8.500917276085985,13.707554039387269
A,15,10,115,rbf,10.0,0.1,scale,3,5.401142068756225,0.8775311177691879,8.500917276085985,13.707554039387269
A,15,10,115,rbf,10.0,0.1,0.01,2,4.892080052112349,0.8806292375047955,8.9330436035513,13.693336161180548
A,15,10,115,rbf,10.0,0.1,0.01,3,4.892080052112349,0.8806292375047955,8.9330436035513,13.693336161180548
A,15,10,115,linear,0.1,0.01,scale,2,4.437881145820266,0.872915414225254,12.89920041895542,16.115454473782982
A,15,10,115,linear,0.1,0.01,scale,3,4.437881145820266,0.872915414225254,12.89920041895542,16.115454473782982
A,15,10,115,linear,0.1,0.01,0.01,2,4.437881145820266,0.872915414225254,12.89920041895542,16.115454473782982
A,15,10,115,linear,0.1,0.01,0.01,3,4.437881145820266,0.872915414225254,12.89920041895542,16.115454473782982
A,15,10,115,linear,0.1,0.1,scale,2,4.438371638513952,0.872923708784137,12.898732196147735,16.115262105911576
A,15,10,115,linear,0.1,0.1,scale,3,4.438371638513952,0.872923708784137,12.898732196147735,16.115262105911576
A,15,10,115,linear,0.1,0.1,0.01,2,4.438371638513952,0.872923708784137,12.898732196147735,16.115262105911576
A,15,10,115,linear,0.1,0.1,0.01,3,4.438371638513952,0.872923708784137,12.898732196147735,16.115262105911576
A,15,10,115,linear,1.0,0.01,scale,2,4.4363432564807095,0.8728820024085564,12.89395561883398,16.112152132966834
A,15,10,115,linear,1.0,0.01,scale,3,4.4363432564807095,0.8728820024085564,12.89395561883398,16.112152132966834
A,15,10,115,linear,1.0,0.01,0.01,2,4.4363432564807095,0.8728820024085564,12.89395561883398,16.112152132966834
A,15,10,115,linear,1.0,0.01,0.01,3,4.4363432564807095,0.8728820024085564,12.89395561883398,16.112152132966834
A,15,10,115,linear,1.0,0.1,scale,2,4.436704008380488,0.8728717691316288,12.893478947387331,16.112218572023387
A,15,10,115,linear,1.0,0.1,scale,3,4.436704008380488,0.8728717691316288,12.893478947387331,16.112218572023387
A,15,10,115,linear,1.0,0.1,0.01,2,4.436704008380488,0.8728717691316288,12.893478947387331,16.112218572023387
A,15,10,115,linear,1.0,0.1,0.01,3,4.436704008380488,0.8728717691316288,12.893478947387331,16.112218572023387
A,15,10,115,linear,10.0,0.01,scale,2,4.435871244440177,0.8728774447812662,12.893483657999315,16.111774752023887
A,15,10,115,linear,10.0,0.01,scale,3,4.435871244440177,0.8728774447812662,12.893483657999315,16.111774752023887
A,15,10,115,linear,10.0,0.01,0.01,2,4.435871244440177,0.8728774447812662,12.893483657999315,16.111774752023887
A,15,10,115,linear,10.0,0.01,0.01,3,4.435871244440177,0.8728774447812662,12.893483657999315,16.111774752023887
A,15,10,115,linear,10.0,0.1,scale,2,4.436805172342344,0.8728700201976378,12.892776379256466,16.11170618236855
A,15,10,115,linear,10.0,0.1,scale,3,4.436805172342344,0.8728700201976378,12.892776379256466,16.11170618236855
A,15,10,115,linear,10.0,0.1,0.01,2,4.436805172342344,0.8728700201976378,12.892776379256466,16.11170618236855
A,15,10,115,linear,10.0,0.1,0.01,3,4.436805172342344,0.8728700201976378,12.892776379256466,16.11170618236855
A,15,10,115,poly,0.1,0.01,scale,2,75.4273911616497,0.668211073882184,20.359785152742592,28.03016193648528
A,15,10,115,poly,0.1,0.01,scale,3,35.783011890153546,0.8627126634191671,17.69489870068932,23.648055277302063
A,15,10,115,poly,0.1,0.01,0.01,2,147.093860771487,0.6410496113429174,22.78377346634803,32.74627701395701
A,15,10,115,poly,0.1,0.01,0.01,3,81.247153896125,0.8410091819781862,20.50387670635365,28.66113772773982
A,15,10,115,poly,0.1,0.1,scale,2,75.41074841895485,0.6682407733345843,20.35856409017371,28.02853324239013
A,15,10,115,poly,0.1,0.1,scale,3,35.74112524960573,0.8627338406991099,17.69645030360198,23.651527490106567
A,15,10,115,poly,0.1,0.1,0.01,2,146.9680342815682,0.6410539304991268,22.78452691213336,32.74207986169714
A,15,10,115,poly,0.1,0.1,0.01,3,81.2893118374624,0.8410146538493839,20.50396523597617,28.66398164342112
A,15,10,115,poly,1.0,0.01,scale,2,106.77207776854308,0.6865560082988369,19.629964041578624,27.05410596736282
A,15,10,115,poly,1.0,0.01,scale,3,26.71792791099552,0.8684885315240839,15.533882126971385,20.131251938792268
A,15,10,115,poly,1.0,0.01,0.01,2,75.2970286358155,0.6685407893893397,20.3458319834686,28.01053661738732
A,15,10,115,poly,1.0,0.01,0.01,3,54.81046141943325,0.856482456979978,18.54926890706337,25.13463096039096
A,15,10,115,poly,1.0,0.1,scale,2,106.8050212477728,0.6865386204084019,19.630969022244404,27.053995999839326
A,15,10,115,poly,1.0,0.1,scale,3,26.70629545243024,0.8684986412803491,15.53276968738559,20.12986613709808
A,15,10,115,poly,1.0,0.1,0.01,2,75.26840576901193,0.6685196149697668,20.34608459316768,28.01019988889109
A,15,10,115,poly,1.0,0.1,0.01,3,54.61487678029859,0.8564913751645715,18.54904319068903,25.13091587543117
A,15,10,115,poly,10.0,0.01,scale,2,108.88115549750772,0.6891291151247652,19.5607320723297,26.95362681301835
A,15,10,115,poly,10.0,0.01,0.01,2,106.82367235985434,0.6865299189763276,19.63049537349142,27.05406941367381
A,15,10,115,poly,10.0,0.01,scale,3,36.81115634774507,0.8645723498349163,14.969902410600708,19.1864427127164
A,15,10,115,poly,10.0,0.01,0.01,3,23.345348241945985,0.8670024163042163,16.471376411066963,21.63615589282972
A,15,10,115,poly,10.0,0.1,scale,2,108.90931083679774,0.6890965227450853,19.56201805798772,26.954934623562213
A,15,10,115,poly,10.0,0.1,0.01,2,106.8317391921793,0.6865199078162771,19.63001047888241,27.052816827746348
A,15,10,115,poly,10.0,0.1,scale,3,36.80763410043066,0.8645760576002137,14.969670020024836,19.184755545560467
A,15,10,115,poly,10.0,0.1,0.01,3,23.385621902876967,0.8670124719278564,16.471231049249635,21.63511235120848
A,15,10,120,rbf,0.1,0.01,scale,2,8.047677628682871,0.8491929109936324,12.576767556811085,16.99379042735557
