feature_set,window_size,n_components,clipping_threshold,baseline_estimation_method,n_baseline_knots,penalizer,l1_ratio,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,breslow,3,0.0,0.0,0.3,,,,
A,20,10,115,breslow,3,0.0,0.0,0.5,,,,
A,20,10,115,breslow,3,0.0,0.0,0.95,,,,
A,20,10,115,breslow,3,0.0,0.5,0.3,,,,
A,20,10,115,breslow,3,0.0,0.5,0.5,,,,
A,20,10,115,breslow,3,0.0,0.5,0.95,,,,
A,20,10,115,breslow,3,0.0,1.0,0.3,,,,
A,20,10,115,breslow,3,0.0,1.0,0.5,,,,
A,20,10,115,breslow,3,0.0,1.0,0.95,,,,
A,20,10,115,breslow,3,0.1,0.0,0.3,7193.563157368003,0.5462211446682973,36.716839341356106,49.775774993022694
A,20,10,115,breslow,3,0.1,0.0,0.5,7333.334544333225,0.5442927490943034,36.75749674720295,49.881796828340995
A,20,10,115,breslow,3,0.1,0.0,0.95,,,,
A,20,10,115,breslow,3,0.1,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,3,0.1,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,3,0.1,0.5,0.95,,,,
A,20,10,115,breslow,3,0.1,1.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,3,0.1,1.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,3,0.1,1.0,0.95,,,,
A,20,10,115,breslow,3,1.0,0.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,3,1.0,0.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,3,1.0,0.0,0.95,,,,
A,20,10,115,breslow,3,1.0,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,3,1.0,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,3,1.0,0.5,0.95,,,,
A,20,10,115,breslow,3,1.0,1.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
