feature_set,window_size,n_components,clipping_threshold,confidence_threshold,penalizer,l1_ratio,fit_intercept,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,0.3,0.0,0.0,True,,,,
A,20,10,115,0.3,0.0,0.0,False,3736.0119778939497,0.5,87.07140468173917,93.98415112420425
A,20,10,115,0.3,0.0,0.5,True,,,,
A,20,10,115,0.3,0.0,0.5,False,3736.0119778939497,0.5,87.07140468173917,93.98415112420425
A,20,10,115,0.3,0.0,1.0,True,,,,
A,20,10,115,0.3,0.0,1.0,False,3736.0119778939497,0.5,87.07140468173917,93.98415112420425
A,20,10,115,0.3,0.1,0.0,True,,,,
A,20,10,115,0.3,0.1,0.0,False,3789.0012755652815,0.5,87.45124666434018,94.34087112116984
A,20,10,115,0.3,0.1,0.5,True,,,,
A,20,10,115,0.3,0.1,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,10,115,0.3,0.1,1.0,True,,,,
A,20,10,115,0.3,0.1,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,10,115,0.3,1.0,0.0,True,,,,
A,20,10,115,0.3,1.0,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,10,115,0.3,1.0,0.5,True,,,,
A,20,10,115,0.3,1.0,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,10,115,0.3,1.0,1.0,True,350.12912466530923,0.8259973337441423,40.032499503566754,49.9590762528739
A,20,10,115,0.3,1.0,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,10,115,0.5,0.0,0.0,True,,,,
A,20,10,115,0.5,0.0,0.0,False,3736.0119778939497,0.5,87.07140468173917,93.98415112420425
A,20,10,115,0.5,0.0,0.5,True,,,,
A,20,10,115,0.5,0.0,0.5,False,3736.0119778939497,0.5,87.07140468173917,93.98415112420425
A,20,10,115,0.5,0.0,1.0,True,,,,
A,20,10,115,0.5,0.0,1.0,False,3736.0119778939497,0.5,87.07140468173917,93.98415112420425
A,20,10,115,0.5,0.1,0.0,True,,,,
A,20,10,115,0.5,0.1,0.0,False,3789.0012755652815,0.5,87.45124666434018,94.34087112116984
A,20,10,115,0.5,0.1,0.5,True,,,,
A,20,10,115,0.5,0.1,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,10,115,0.5,0.1,1.0,True,,,,
A,20,10,115,0.5,0.1,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,10,115,0.5,1.0,0.0,True,,,,
A,20,10,115,0.5,1.0,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,10,115,0.5,1.0,0.5,True,,,,
A,20,10,115,0.5,1.0,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,10,115,0.5,1.0,1.0,True,2430.2642104015554,0.6742021168855707,30.2027289498654,41.80491103344799
A,20,10,115,0.5,1.0,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,10,115,0.95,0.0,0.0,True,,,,
A,20,10,115,0.95,0.0,0.0,False,,,,
A,20,10,115,0.95,0.0,0.5,True,,,,
A,20,10,115,0.95,0.0,0.5,False,,,,
