feature_set,window_size,n_components,clipping_threshold,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,100,0.05,3,0.8,0.8,0.1,1,3.031648424279052,0.8955885365192728,8.654737764156568,12.370206479506349
A,20,10,115,100,0.05,3,0.8,0.8,0.1,5,3.0326020542853187,0.8955912875305627,8.65423359550359,12.369434849991816
A,20,10,115,100,0.05,3,0.8,0.8,1.0,1,3.037300492826235,0.8954142392826145,8.669591660825585,12.383919277017066
A,20,10,115,100,0.05,3,0.8,0.8,1.0,5,3.035825297020747,0.895400165722058,8.67146997035625,12.385555955830906
A,20,10,115,100,0.05,3,0.8,0.8,10.0,1,3.037803030461904,0.8956042329636313,8.665572735502119,12.38356570859786
A,20,10,115,100,0.05,3,0.8,0.8,10.0,5,3.037730932749719,0.8958500059111143,8.660649707192484,12.381325554571209
A,20,10,115,100,0.05,3,0.8,1.0,0.1,1,3.0463963803780136,0.8956996081655664,8.642111340520717,12.400680835914743
A,20,10,115,100,0.05,3,0.8,1.0,0.1,5,3.0464868272644847,0.8956765189944559,8.641851584263174,12.401228706461476
A,20,10,115,100,0.05,3,0.8,1.0,1.0,1,3.042672182151513,0.8955315164857083,8.643610728023166,12.40329042379422
A,20,10,115,100,0.05,3,0.8,1.0,1.0,5,3.0427143878767327,0.8955563809426975,8.643794151647938,12.40271648619401
A,20,10,115,100,0.05,3,0.8,1.0,10.0,1,3.045529396263212,0.8954893502845058,8.647074100549023,12.40454955057304
A,20,10,115,100,0.05,3,0.8,1.0,10.0,5,3.043472462632788,0.8954659615375331,8.649581679112007,12.403138118565716
A,20,10,115,100,0.05,3,1.0,0.8,0.1,1,3.0335641299070217,0.8956429670522255,8.68516956781463,12.37313965815061
A,20,10,115,100,0.05,3,1.0,0.8,0.1,5,3.032721577398774,0.8956306405471064,8.683835420774814,12.372979245874737
A,20,10,115,100,0.05,3,1.0,0.8,1.0,1,3.026426692180192,0.8956352101098961,8.67149032332614,12.36555681415243
A,20,10,115,100,0.05,3,1.0,0.8,1.0,5,3.026277221555348,0.8956358407425021,8.671417328767053,12.365382675677008
A,20,10,115,100,0.05,3,1.0,0.8,10.0,1,3.0390444774639565,0.8951885864815928,8.709285103843293,12.392539818273754
A,20,10,115,100,0.05,3,1.0,0.8,10.0,5,3.0430142719064053,0.8951686427304022,8.715414238829661,12.396390977594049
A,20,10,115,100,0.05,3,1.0,1.0,0.1,1,3.0490751654112755,0.8947847782145582,8.668094776133369,12.422569835076498
A,20,10,115,100,0.05,3,1.0,1.0,0.1,5,3.04943599389926,0.8948637265633176,8.666192515426214,12.422246600443158
A,20,10,115,100,0.05,3,1.0,1.0,1.0,1,3.0398529371194654,0.8949312012376879,8.66420226741961,12.415047087166904
A,20,10,115,100,0.05,3,1.0,1.0,1.0,5,3.0404716893845047,0.894925775804405,8.666759361094176,12.41544234341932
A,20,10,115,100,0.05,3,1.0,1.0,10.0,1,3.051846918916124,0.8949286553543299,8.693019742556208,12.42510652957328
A,20,10,115,100,0.05,3,1.0,1.0,10.0,5,3.0511363346705904,0.8950062146027248,8.685094593030215,12.41637051617398
A,20,10,115,100,0.05,5,0.8,0.8,0.1,1,3.0119106459467724,0.8972905233758297,8.225373215814791,12.17744377696484
A,20,10,115,100,0.05,5,0.8,0.8,0.1,5,2.9990003925096644,0.8974735661933322,8.22728245793619,12.174700764840043
A,20,10,115,100,0.05,5,0.8,0.8,1.0,1,3.0163251488653424,0.8975482522597382,8.221957326340016,12.170761325570131
A,20,10,115,100,0.05,5,0.8,0.8,1.0,5,3.0084552114338594,0.8974026668812639,8.230100290954033,12.171975598812711
A,20,10,115,100,0.05,5,0.8,0.8,10.0,1,2.996568283126763,0.8972793087508247,8.270100387511127,12.1781223414504
A,20,10,115,100,0.05,5,0.8,0.8,10.0,5,2.9963298725228213,0.8975199485829609,8.250741755510827,12.172196214011798
A,20,10,115,100,0.05,5,0.8,1.0,0.1,1,3.0169348668981355,0.8977676520937191,8.180088620044508,12.181715442256952
A,20,10,115,100,0.05,5,0.8,1.0,0.1,5,3.0093735618710924,0.8977835631229372,8.1684266218848,12.168977878858012
A,20,10,115,100,0.05,5,0.8,1.0,1.0,1,3.001220564877649,0.8980210717646866,8.164269048996774,12.158343689104102
A,20,10,115,100,0.05,5,0.8,1.0,1.0,5,3.0146183992939823,0.8980276076594805,8.16795402196475,12.162946450980938
A,20,10,115,100,0.05,5,0.8,1.0,10.0,1,3.009106162029556,0.8977799927388027,8.204711894304841,12.186072692875316
A,20,10,115,100,0.05,5,0.8,1.0,10.0,5,3.0203195308199544,0.8977618709971195,8.192806238359468,12.176123135429409
A,20,10,115,100,0.05,5,1.0,0.8,0.1,1,2.9889124599722967,0.8975400199879255,8.23631047876243,12.169217755873458
A,20,10,115,100,0.05,5,1.0,0.8,0.1,5,2.996907618188987,0.8976304938988955,8.233218026811688,12.17339581742782
A,20,10,115,100,0.05,5,1.0,0.8,1.0,1,2.9808925792115297,0.8975629520746647,8.23791713542138,12.163381740098696
A,20,10,115,100,0.05,5,1.0,0.8,1.0,5,2.979390674465753,0.8974368306165728,8.245749577887006,12.172512744470668
A,20,10,115,100,0.05,5,1.0,0.8,10.0,1,3.011316120660928,0.8972877437760207,8.282229210776475,12.198034682395086
A,20,10,115,100,0.05,5,1.0,0.8,10.0,5,2.9975763609641475,0.8974604647263643,8.264588392821608,12.184407761480532
A,20,10,115,100,0.05,5,1.0,1.0,0.1,1,3.022633318708232,0.8979049442949902,8.193993142788106,12.201052104086392
A,20,10,115,100,0.05,5,1.0,1.0,0.1,5,3.006701484754829,0.897954233018378,8.181171018655101,12.180837833170424
A,20,10,115,100,0.05,5,1.0,1.0,1.0,1,3.023908714269962,0.8980700324575297,8.18681973894356,12.194238195301908
A,20,10,115,100,0.05,5,1.0,1.0,1.0,5,3.0104451676022586,0.8981728813975487,8.183505653596534,12.18323238452145
A,20,10,115,100,0.05,5,1.0,1.0,10.0,1,3.0011986684294,0.8979644951831004,8.204022729846447,12.186087420366
A,20,10,115,100,0.05,5,1.0,1.0,10.0,5,3.005077990167534,0.8983054292969278,8.199072914296208,12.180069000774475
A,20,10,115,100,0.1,3,0.8,0.8,0.1,1,2.9971742638389225,0.896186586610361,8.41046889143571,12.282401469763492
A,20,10,115,100,0.1,3,0.8,0.8,0.1,5,3.003698830313533,0.8961200809707004,8.421342336122544,12.297107750252504
A,20,10,115,100,0.1,3,0.8,0.8,1.0,1,2.990836215335345,0.8959966737179761,8.433283655762322,12.297175800508208
A,20,10,115,100,0.1,3,0.8,0.8,1.0,5,2.9906047749802966,0.896006232932883,8.421613248768889,12.29374795182073
A,20,10,115,100,0.1,3,0.8,0.8,10.0,1,2.989070054703172,0.8961595345250242,8.43364778661246,12.289671225718168
A,20,10,115,100,0.1,3,0.8,0.8,10.0,5,2.987273967426269,0.8962846646688762,8.421277283256392,12.279742206986182
A,20,10,115,100,0.1,3,0.8,1.0,0.1,1,3.000653516232791,0.8955673817367099,8.424838900426977,12.31654683664414
A,20,10,115,100,0.1,3,0.8,1.0,0.1,5,2.9859494153473483,0.8953421632296802,8.423776061988255,12.308598921924972
A,20,10,115,100,0.1,3,0.8,1.0,1.0,1,2.98644090782588,0.8957532963623545,8.413084471436763,12.295517053515828
A,20,10,115,100,0.1,3,0.8,1.0,1.0,5,2.987405327432663,0.8956171421248026,8.417288057806331,12.301285393672496
A,20,10,115,100,0.1,3,0.8,1.0,10.0,1,2.984215320731738,0.8956830424674745,8.42720577142864,12.30517040617319
A,20,10,115,100,0.1,3,0.8,1.0,10.0,5,2.986926173791589,0.8960426511449825,8.413496606939942,12.30253382205279
A,20,10,115,100,0.1,3,1.0,0.8,0.1,1,2.9839054787569625,0.8963384444146254,8.431408696132277,12.28653244077938
A,20,10,115,100,0.1,3,1.0,0.8,0.1,5,2.97730582755128,0.8962818991365455,8.434662115280602,12.28921553177233
A,20,10,115,100,0.1,3,1.0,0.8,1.0,1,3.003004085895664,0.8963345614130196,8.439025842984371,12.301654847934165
A,20,10,115,100,0.1,3,1.0,0.8,1.0,5,3.006401613649497,0.8964121675210475,8.434533436933995,12.295385576639656
A,20,10,115,100,0.1,3,1.0,0.8,10.0,1,2.9837097724018022,0.8965847360925681,8.418826833206282,12.280523753571758
A,20,10,115,100,0.1,3,1.0,0.8,10.0,5,2.982587915447662,0.8964574358503852,8.411492650725426,12.276357812803736
A,20,10,115,100,0.1,3,1.0,1.0,0.1,1,2.9663446878046136,0.8965580907793692,8.391719189196854,12.26913378037136
A,20,10,115,100,0.1,3,1.0,1.0,0.1,5,2.9692240902252487,0.8965316995596215,8.406427008641131,12.280957454771997
A,20,10,115,100,0.1,3,1.0,1.0,1.0,1,2.959950447785415,0.8961642182829352,8.408782858499602,12.278481555347597
A,20,10,115,100,0.1,3,1.0,1.0,1.0,5,2.9732400018838803,0.8961701744784323,8.417924159024087,12.294993614874064
A,20,10,115,100,0.1,3,1.0,1.0,10.0,1,2.99837612995225,0.8955993210672298,8.449670429535036,12.33164183190798
A,20,10,115,100,0.1,3,1.0,1.0,10.0,5,2.9978720445357023,0.8954393431191944,8.45573965030071,12.334516349140184
A,20,10,115,100,0.1,5,0.8,0.8,0.1,1,3.0798707475724094,0.8952648730978326,8.20738994778898,12.2815891224541
A,20,10,115,100,0.1,5,0.8,0.8,0.1,5,3.0788172412571577,0.8950735695476537,8.22294704882126,12.278919826395532
A,20,10,115,100,0.1,5,0.8,0.8,1.0,1,3.0799615292244864,0.8956373800707006,8.198557478994793,12.274300188556296
A,20,10,115,100,0.1,5,0.8,0.8,1.0,5,3.0694053475207026,0.8953245529184256,8.212598461918285,12.281602631873664
A,20,10,115,100,0.1,5,0.8,0.8,10.0,1,3.033142038358968,0.8959445435082651,8.182713157837139,12.233454827075024
A,20,10,115,100,0.1,5,0.8,0.8,10.0,5,3.047842187689279,0.8951116496855475,8.180844079448871,12.244182315931194
A,20,10,115,100,0.1,5,0.8,1.0,0.1,1,3.09610495501055,0.895263204561011,8.19992354473753,12.304838797240867
A,20,10,115,100,0.1,5,0.8,1.0,0.1,5,3.064338496680163,0.8951157753908241,8.188551473256004,12.281244551920468
A,20,10,115,100,0.1,5,0.8,1.0,1.0,1,3.0741141619049634,0.8952481335809953,8.192465868724781,12.28719193038422
A,20,10,115,100,0.1,5,0.8,1.0,1.0,5,3.073550604224465,0.8956989654539058,8.206048980929252,12.292629506995755
A,20,10,115,100,0.1,5,0.8,1.0,10.0,1,3.060811754034409,0.8957291644709559,8.184103859016814,12.271460629294417
A,20,10,115,100,0.1,5,0.8,1.0,10.0,5,3.0659809900344257,0.8957581151204229,8.174924665055965,12.259582855144988
A,20,10,115,100,0.1,5,1.0,0.8,0.1,1,3.0054452003193126,0.8962712997753709,8.17481731466957,12.217974872676638
A,20,10,115,100,0.1,5,1.0,0.8,0.1,5,3.0533346194241755,0.8956915230349758,8.192064345047077,12.241009291820234
A,20,10,115,100,0.1,5,1.0,0.8,1.0,1,3.0345462625578827,0.8957338789626208,8.195778754965565,12.24288900869584
A,20,10,115,100,0.1,5,1.0,0.8,1.0,5,3.013705821667497,0.8958917124287943,8.200661947563496,12.22728695691116
A,20,10,115,100,0.1,5,1.0,0.8,10.0,1,3.032201987151797,0.8956658893529186,8.182778756354654,12.218213216530666
A,20,10,115,100,0.1,5,1.0,0.8,10.0,5,3.015000891999036,0.8963594976752531,8.144547930175587,12.1795356565385
A,20,10,115,100,0.1,5,1.0,1.0,0.1,1,3.060608104602566,0.8958875458469541,8.157269287874394,12.249561357698386
A,20,10,115,100,0.1,5,1.0,1.0,0.1,5,3.0473075438420327,0.8955390974525261,8.165790601845037,12.234061805840806
A,20,10,115,100,0.1,5,1.0,1.0,1.0,1,3.047012017064376,0.8956353693124484,8.151183923685892,12.24302423886522
A,20,10,115,100,0.1,5,1.0,1.0,1.0,5,3.067554345256313,0.8957080185716029,8.147914955460845,12.258216363235473
A,20,10,115,100,0.1,5,1.0,1.0,10.0,1,3.058028194414935,0.895932442513524,8.158515145953595,12.240598669339198
A,20,10,115,100,0.1,5,1.0,1.0,10.0,5,3.034552147822453,0.8963547864398503,8.148506079720892,12.230975336296185
A,20,10,115,200,0.05,3,0.8,0.8,0.1,1,2.9607584105150364,0.8963696520420775,8.412192486251325,12.263683519625824
A,20,10,115,200,0.05,3,0.8,0.8,0.1,5,2.9565515937354947,0.8963748996794385,8.405095072690688,12.256521370176726
A,20,10,115,200,0.05,3,0.8,0.8,1.0,1,2.966851764647495,0.896270146241305,8.415895616448651,12.271338071587476
A,20,10,115,200,0.05,3,0.8,0.8,1.0,5,2.964174566116076,0.8963344024170921,8.4201351561948,12.270524255515884
A,20,10,115,200,0.05,3,0.8,0.8,10.0,1,2.961257785178433,0.8964717636514761,8.411959888282107,12.263840087253838
A,20,10,115,200,0.05,3,0.8,0.8,10.0,5,2.969102996983219,0.8963769602233365,8.417868517252469,12.27154458849611
A,20,10,115,200,0.05,3,0.8,1.0,0.1,1,2.961956567594814,0.8964412155932461,8.386876369214724,12.26917735562608
A,20,10,115,200,0.05,3,0.8,1.0,0.1,5,2.9564371839119548,0.8964903063680693,8.380706118394354,12.257207961746456
A,20,10,115,200,0.05,3,0.8,1.0,1.0,1,2.953893369517656,0.8963341256081989,8.388251627719033,12.264168965290526
A,20,10,115,200,0.05,3,0.8,1.0,1.0,5,2.954608835352777,0.896335830195224,8.382864142530554,12.260190509792793
